"AcceptedSymbol","AcceptedSpecies","SynonymSymbol","Symbol","ScientificName","USDA_CName","Family","FamilyCommonName","GrowthHabit","Duration","Guild","Guild_PCLTEM","Origin"
"LAPA4","Lathyrus palustris","NA","LAPA4","Lathyrus palustris","marsh pea","Fabaceae","Pea family","Forb/herb, vine","Perennial","forb","NA","N"
"LAPO2","Lathyrus polymorphus","NA","LAPO2","Lathyrus polymorphus","manystem pea","Fabaceae","Pea family","Forb/herb, vine","Perennial","forb","legume","N"
"LAPPU","Lappula","NA","LAPPU","Lappula","stickseed","Boraginaceae","Borage family","Forb/herb","Annual, Biennial","forb","NA","N"
"LAPU2","Lamium purpureum","NA","LAPU2","Lamium purpureum","purple deadnettle","Lamiaceae","Mint family","Forb/herb","Annual","forb","annual-biennial","I"
"LASE","Lactuca serriola","NA","LASE","Lactuca serriola","prickly lettuce","Asteraceae","Aster family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"LATAP","Lactuca tatarica var. pulchella","NA","LATAP","Lactuca tatarica var. pulchella","blue lettuce","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","spring","N"
"LAVE","Lathyrus venosus","NA","LAVE","Lathyrus venosus","veiny pea","Fabaceae","Pea family","Forb/herb, vine","Perennial","forb","legume","N"
"LEAR6","Lesquerella arenosa","NA","LEAR6","Lesquerella arenosa","Great Plains bladderpod","Brassicaceae","Mustard family","Forb/herb","Biennial, Perennial","forb","spring","N"
"LECA2","Leonurus cardiaca","NA","LECA2","Leonurus cardiaca","common motherwort","Lamiaceae","Mint family","Forb/herb","Perennial","forb","NA","I"
"LECA5","Lepidium campestre","NA","LECA5","Lepidium campestre","field pepperweed","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"LECA8","Lespedeza capitata","NA","LECA8","Lespedeza capitata","roundhead lespedeza","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LECU","Lespedeza cuneata","NA","LECU","Lespedeza cuneata","sericea lespedeza","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","I"
"LEDE","Lepidium densiflorum","NA","LEDE","Lepidium densiflorum","common pepperweed","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","N"
"LEFI2","Lesquerella filiformis","NA","LEFI2","Lesquerella filiformis","limestoneglade bladderpod","Brassicaceae","Mustard family","Forb/herb","Perennial","forb","annual-biennial","N"
"LELU","Lesquerella ludoviciana","NA","LELU","Lesquerella ludoviciana","foothill bladderpod","Brassicaceae","Mustard family","Forb/herb","Perennial","forb","spring","N"
"LEMO4","Leucocrinum montanum","NA","LEMO4","Leucocrinum montanum","common starlily","Liliaceae","Lily family","Forb/herb","Perennial","forb","spring","N"
"LEMU","Leucospora multifida","NA","LEMU","Leucospora multifida","narrowleaf paleseed","Scrophulariaceae","Figwort family","Forb/herb","Annual","forb","NA","N"
"LEOR","Leersia oryzoides","NA","LEOR","Leersia oryzoides","rice cutgrass","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"LEPR","Lespedeza procumbens","NA","LEPR","Lespedeza procumbens","trailing lespedeza","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LERE2","Lespedeza repens","NA","LERE2","Lespedeza repens","creeping lespedeza","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LESPE","Lespedeza","NA","LESPE","Lespedeza","lespedeza","Fabaceae","Pea family","NA","	Perennial","forb","NA","N"
"LEST","Lechea stricta","NA","LEST","Lechea stricta","prairie pinweed","Cistaceae","Rock-rose family","Forb/herb","Perennial","forb","NA","N"
"LEST5","Lespedeza stuevei","NA","LEST5","Lespedeza stuevei","tall lespedeza","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"LEVI2","Leersia virginica","NA","LEVI2","Leersia virginica","whitegrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"LEVI6","Lespedeza violacea","NA","LEVI6","Lespedeza violacea","violet lespedeza","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LEVI7","Lespedeza virginica","NA","LEVI7","Lespedeza virginica","slender lespedeza","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LEVU","Leucanthemum vulgare","NA","LEVU","Leucanthemum vulgare","oxeye daisy","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","I"
"LIAS","Liatris aspera","NA","LIAS","Liatris aspera","tall blazing star","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"LIATR","Liatris","NA","LIATR","Liatris","blazing star","Asteraceae","Aster family","Forb/herb","	Perennial","forb","NA","N"
"LIBE3","Lindera benzoin","NA","LIBE3","Lindera benzoin","northern spicebush","Lauraceae","Laurel family","Shrub","Perennial","woody","spring","N"
"LIBOUNK","LIBOunk12_062724","NA","LIBOUNK","LIBOunk12_062724","unknown","NA","NA","NA","NA","woody","NA","N"
"LIBOUNK2","LIBOunk4_062524","NA","LIBOUNK2","LIBOunk4_062524","unknown","NA","NA","Graminoid","NA","grass","NA","N"
"LICA12","Lithospermum canescens","NA","LICA12","Lithospermum canescens","hoary puccoon","Boraginaceae","Borage family","Forb/herb","Perennial","forb","spring","N"
"LIIN2","Lithospermum incisum","NA","LIIN2","Lithospermum incisum","narrowleaf stoneseed","Boraginaceae","Borage family","Forb/herb","Perennial","forb","spring","N"
"LILI3","Liparis liliifolia","NA","LILI3","Liparis liliifolia","brown widelip orchid","Orchidaceae","Orchid family","Forb/herb","Perennial","forb","NA","N"
"LIMI9","Lilium michiganense","NA","LIMI9","Lilium michiganense","Michigan lily","Liliaceae","Lily family","Forb/herb","Perennial","forb","summer","N"
"LIPU","Liatris punctata","NA","LIPU","Liatris punctata","dotted blazing star","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"LIPU4","Linum puberulum","NA","LIPU4","Linum puberulum","plains flax","Linaceae","Flax family","Forb/herb","Annual","forb","annual-biennial","N"
"LIPY","Liatris pycnostachya","NA","LIPY","Liatris pycnostachya","prairie blazing star","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"LIRI","Linum rigidum","NA","LIRI","Linum rigidum","stiffstem flax","Linaceae","Flax family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"LIST2","Liquidambar styraciflua","NA","LIST2","Liquidambar styraciflua","sweetgum","Hamamelidaceae","Witch-hazel family","Tree","Perennial","woody","spring","N"
"LISU4","Linum sulcatum","NA","LISU4","Linum sulcatum","grooved flax","Linaceae","Flax family","Forb/herb","Annual","forb","annual-biennial","N"
"LITHO3","Lithospermum","NA","LITHO3","Lithospermum","stoneseed","Boraginaceae","Borage family","Forb/herb","Perennial","forb","NA","N"
"LITU","Liriodendron tulipifera","NA","LITU","Liriodendron tulipifera","tuliptree","Magnoliaceae","Magnolia family","Tree","Perennial","woody","spring","N"
"LIVU","Ligustrum vulgare","NA","LIVU","Ligustrum vulgare","European privet","Oleaceae","Olive family","Tree","Perennial","woody","spring","I"
"LIVU2","Linaria vulgaris","NA","LIVU2","Linaria vulgaris","butter and eggs","Scrophulariaceae","Figwort family","Forb/herb","Perennial","forb","NA","I"
"LOCA2","Lobelia cardinalis","NA","LOCA2","Lobelia cardinalis","cardinalflower","Campanulaceae","Bellflower family","Forb/herb","Perennial","forb","summer","N"
"LOFO","Lomatium foeniculaceum","NA","LOFO","Lomatium foeniculaceum","desert biscuitroot","Apiaceae","Carrot family","Forb/herb","Perennial","forb","ephemeral","N"
"LOIN","Lobelia inflata","NA","LOIN","Lobelia inflata","Indian-tobacco","Campanulaceae","Bellflower family","Forb/herb","Annual","forb","summer","N"
"LOJA","Lonicera japonica","NA","LOJA","Lonicera japonica","Japanese honeysuckle","Caprifoliaceae","Honeysuckle family","Vine","Perennial","woody","woody","I"
"LOMO2","Lonicera morrowii","NA","LOMO2","Lonicera morrowii","Morrow's honeysuckle","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","I"
"LOMO6","Lonicera maackii","NA","LOMO6","Lonicera maackii","Amur honeysuckle","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","I"
"LONIC","Lonicera","NA","LONIC","Lonicera","honeysuckle","Caprifoliaceae","Honeysuckle family","NA","NA","woody","woody","I"
"LORE5","Lonicera reticulata","NA","LORE5","Lonicera reticulata","grape honeysuckle","Caprifoliaceae","Honeysuckle family","Shrub, Vine","	Perennial","woody","NA","N"
"LOSI","Lobelia siphilitica","NA","LOSI","Lobelia siphilitica","great blue lobelia","Campanulaceae","Bellflower family","Forb/herb","Perennial","forb","summer","N"
"LOSP","Lobelia spicata","NA","LOSP","Lobelia spicata","palespike lobelia","Campanulaceae","Bellflower family","Forb/herb","Perennial","forb","spring","N"
"LOTA","Lonicera tatarica","NA","LOTA","Lonicera tatarica","Tatarian honeysuckle","Caprifoliaceae","Honeysuckle family","Shrub","Perennial","woody","woody","I"
"LOUNU","Lotus unifoliolatus var. unifoliolatus","NA","LOUNU","Lotus unifoliolatus var. unifoliolatus","American bird's-foot trefoil","Fabaceae","Pea family","Forb/herb","Annual","forb","legume","N"
"LUMU2","Luzula multiflora","NA","LUMU2","Luzula multiflora","common woodrush","Juncaceae","Rush family","Graminoid","Perennial","grass-like","NA","N"
"LUPE3","Lupinus perennis","NA","LUPE3","Lupinus perennis","sundial lupine","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LUPL","Lupinus plattensis","NA","LUPL","Lupinus plattensis","Nebraska lupine","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"LUPU","Lupinus pusillus","NA","LUPU","Lupinus pusillus","rusty lupine","Fabaceae","Pea family","Forb/herb","Annual","forb","legume","N"
"LYAL4","Lythrum alatum","NA","LYAL4","Lythrum alatum","winged lythrum","Lythraceae","Loosestrife family","Subshrub, Forb/herb","Perennial","forb","NA","N"
"LYAM","Lycopus americanus","NA","LYAM","Lycopus americanus","American water horehound","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"LYCI","Lysimachia ciliata","NA","LYCI","Lysimachia ciliata","fringed loosestrife","Primulaceae","Primrose family","Forb/herb","Perennial","forb","summer","N"
"LYJU","Lygodesmia juncea","NA","LYJU","Lygodesmia juncea","rush skeletonplant","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"LYLA","Lysimachia lanceolata","NA","LYLA","Lysimachia lanceolata","lanceleaf loosestrife","Primulaceae","Primrose family","Forb/herb","Perennial","forb","NA","N"
"MADE3","Matelea decipiens","NA","MADE3","Matelea decipiens","oldfield milkvine","Asclepiadaceae","milkweed family","Forb/herb","Perennial","forb","NA","N"
"MAGR2","Machaeranthera grindelioides","NA","MAGR2","Machaeranthera grindelioides","rayless tansyaster","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"MAHI","Malvastrum hispidum","NA","MAHI","Malvastrum hispidum","hispid false mallow","Malvaceae","Mallow family","Forb/herb","Annual","forb","annual-biennial","N"
"MAIAN","Maianthemum","NA","MAIAN","Maianthemum","mayflower","Liliaceae","Lily family","NA","NA","forb","summer","N"
"MALUS","Malus","NA","MALUS","Malus","apple","Rosaceae","Rose family","Tree","Perennial","woody","NA","N"
"MAPIP4","Machaeranthera pinnatifida ssp. pinnatifida var. pinnatifida","NA","MAPIP4","Machaeranthera pinnatifida ssp. pinnatifida var. pinnatifida","lacy tansyaster","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"MAPO","Maclura pomifera","NA","MAPO","Maclura pomifera","osage orange","Moraceae","Mulberry family","Tree","Perennial","woody","woody","N"
"MARAR","Maianthemum racemosum ssp. racemosum","NA","MARAR","Maianthemum racemosum ssp. racemosum","feathery false lily of the valley","Liliaceae","Lily family","Forb/herb","Perennial","forb","spring","N"
"MAST4","Maianthemum stellatum","NA","MAST4","Maianthemum stellatum","starry false lily of the valley","Liliaceae","Lily family","Forb/herb","Perennial","forb","spring","N"
"MECA3","Menispermum canadense","NA","MECA3","Menispermum canadense","common moonseed","Menispermaceae","Moonseed family","Vine","Perennial","woody","woody","N"
"MEDIC","Medicago","NA","MEDIC","Medicago","alfalfa","Fabaceae","Pea family","NA","NA","forb","NA","I"
"MELIL","Melilotus","NA","MELIL","Melilotus","sweetclover","Fabaceae","Pea family","Forb/herb","Annual, Biennial, Perennial","forb","legume","I"
"MELU","Medicago lupulina","NA","MELU","Medicago lupulina","black medick","Fabaceae","Pea family","Forb/herb","Annual, Perennial","forb","legume","I"
"MEOF","Melilotus officinalis","NA","MEOF","Melilotus officinalis","yellow sweetclover","Fabaceae","Pea family","Forb/herb","Annual, Biennial, Perennial","forb","legume","I"
"MIAL4","Mirabilis albida","NA","MIAL4","Mirabilis albida","white four o'clock","Nyctaginaceae","Four o'clock family","Forb/herb, Subshrub","Perennial","forb","spring","N"
"MIDI3","Mitella diphylla","NA","MIDI3","Mitella diphylla","twoleaf miterwort","Saxifragaceae","Saxifrage family","Forb/herb","Perennial","forb","spring","N"
"MIHI","Mirabilis hirsuta","NA","MIHI","Mirabilis hirsuta","hairy four o'clock","Nyctaginaceae","Four o'clock family","Forb/herb","Perennial","forb","spring","N"
"MILI3","Mirabilis linearis","NA","MILI3","Mirabilis linearis","narrowleaf four o'clock","Nyctaginaceae","Four o'clock family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"MINU6","Mimosa nuttallii","SCNU","SCNU","Schrankia nuttallii","Sensitive brier ","Fabaceae","Pea family","Forb/herb","	Perennial","forb","legume","N"
"MINY","Mirabilis nyctaginea","NA","MINY","Mirabilis nyctaginea","heartleaf four o'clock","Nyctaginaceae","Four o'clock family","Forb/herb","Perennial","forb","spring","N"
"MIRE","Mitchella repens","NA","MIRE","Mitchella repens","partridgeberry","Rubiaceae","Madder family","Forb/herb","	Perennial","forb","NA","N"
"MIVI","Microstegium vimineum","NA","MIVI","Microstegium vimineum","Nepalese browntop","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","I"
"MOAL","Morus alba","NA","MOAL","Morus alba","white mulberry","Moraceae","Mulberry family","Tree","Perennial","woody","woody","I"
"MOBR2","Monarda bradburiana","NA","MOBR2","Monarda bradburiana","eastern beebalm","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"MOFI","Monarda fistulosa","NA","MOFI","Monarda fistulosa","wild bergamot","Lamiaceae","Mint family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"MONAR","Monarda","NA","MONAR","Monarda","beebalm","Lamiaceae","Mint family","NA","NA","forb","NA","N"
"MOPE","Monarda pectinata","NA","MOPE","Monarda pectinata","pony beebalm","Lamiaceae","Mint family","Forb/herb","Annual","forb","spring","N"
"MORU","Monarda russeliana","NA","MORU","Monarda russeliana","redpurple beebalm","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"MORU2","Morus rubra","NA","MORU2","Morus rubra","red mulberry","Moraceae","Mulberry family","Tree","Perennial","woody","NA","N"
"MORUS","Morus","NA","MORUS","Morus","mulberry","Moraceae","Mulberry family","Tree","Perennial","woody","NA","N"
"MOUN3","Monotropa uniflora","NA","MOUN3","Monotropa uniflora","Indianpipe","Monotropaceae","Indian Pipe family","Forb/herb","Perennial","forb","summer","N"
"MUCU3","Muhlenbergia cuspidata","NA","MUCU3","Muhlenbergia cuspidata","plains muhly","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"MUFR2","Muhlenbergia frondosa","NA","MUFR2","Muhlenbergia frondosa","wirestem muhly","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"MUGL3","Muhlenbergia glomerata","NA","MUGL3","Muhlenbergia glomerata","spiked muhly","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"MUHLE","Muhlenbergia","NA","MUHLE","Muhlenbergia","muhly","Poaceae","Grass family","Graminoid","	Perennial","grass","warmgrass","N"
"MUPU2","Muhlenbergia pungens","NA","MUPU2","Muhlenbergia pungens","sandhill muhly","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"MURA","Muhlenbergia racemosa","NA","MURA","Muhlenbergia racemosa","marsh muhly","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"MUSC","Muhlenbergia schreberi","NA","MUSC","Muhlenbergia schreberi","nimblewill","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"MUSO","Muhlenbergia sobolifera","NA","MUSO","Muhlenbergia sobolifera","rock muhly","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"MUTE","Muhlenbergia tenuiflora","NA","MUTE","Muhlenbergia tenuiflora","slimflower muhly","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"MUTE3","Musineon tenuifolium","NA","MUTE3","Musineon tenuifolium","slender wildparsley","Apiaceae","Carrot family","Forb/herb","Perennial","forb","spring","N"
"MYMI2","Myosurus minimus","NA","MYMI2","Myosurus minimus","tiny mousetail","Ranunculaceae","Buttercup family","Forb/herb","Annual","forb","NA","N"
"MYVE","Myosotis verna","NA","MYVE","Myosotis verna","spring forget-me-not","Boraginaceae","Borage family","Forb/herb","Annual, Biennial","forb","annual-biennial","N"
"NA","Not Applicable","NA","NA","Not Applicable","Not Applicable","NA","NA","NA","NA","NA","NA","N"
"NADO","Nandina domestica","NA","NADO","Nandina domestica","sacred bamboo","Berberidaceae","Barberry family","Shrub","Perennial","woody","woody","I"
"NAVI4","Nassella viridula","STVI4","STVI4","Stipa viridula","Green needle-grass","Poaceae","Grass family","Graminoid","	Perennial","grass","coolgrass","N"
"NECA2","Nepeta cataria","NA","NECA2","Nepeta cataria","catnip","Lamiaceae","Mint family","Forb/herb","Perennial","forb","NA","I"
"NOBI2","Nothoscordum bivalve","NA","NOBI2","Nothoscordum bivalve","crowpoison","Liliaceae","Lily family","Forb/herb","Perennial","forb","ephemeral","N"
"NOCU","Nothocalais cuspidata","NA","NOCU","Nothocalais cuspidata","prairie false dandelion","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
"NUTE","Nuttallanthus texanus","NA","NUTE","Nuttallanthus texanus","Texas toadflax","Scrophulariaceae","Figwort family","Forb/herb","Annual, Biennial","forb","annual-biennial","N"
"NYSY","Nyssa sylvatica","NA","NYSY","Nyssa sylvatica","blackgum","Cornaceae","Dogwood family","Tree","Perennial","woody","NA","N"
"OEAL","Oenothera albicaulis","NA","OEAL","Oenothera albicaulis","whitest evening primrose","Onagraceae","Evening Primrose family","Forb/herb","Annual","forb","annual-biennial","N"
"OEBI","Oenothera biennis","NA","OEBI","Oenothera biennis","common evening primrose","Onagraceae","Evening Primrose family","Forb/herb","Biennial","forb","summer","N"
"OECA10","Oenothera caespitosa","OECE2","OECE2","Oenothera cespitosa","Evening-primrose ","Onagraceae","Evening Primrose family","Forb/herb, Subshrub","	Perennial","forb","spring","N"
"OELA","Oenothera laciniata","NA","OELA","Oenothera laciniata","cutleaf evening primrose","Onagraceae","Evening Primrose family","Forb/herb","Annual, Perennial","forb","NA","N"
"OEMA","Oenothera macrocarpa","NA","OEMA","Oenothera macrocarpa","bigfruit evening primrose","Onagraceae","Evening Primrose family","Forb/herb","Perennial","forb","spring","N"
"OENOT","Oenothera","NA","OENOT","Oenothera","evening primrose","Onagraceae","Evening Primrose family","NA","NA","forb","NA","N"
"OENU","Oenothera nuttallii","NA","OENU","Oenothera nuttallii","Nuttall's evening primrose","Onagraceae","Evening Primrose family","Forb/herb","Perennial","forb","summer","N"
"OESP2","Oenothera speciosa","NA","OESP2","Oenothera speciosa","pinkladies","Onagraceae","Evening Primrose family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"OEVI","Oenothera villosa","NA","OEVI","Oenothera villosa","hairy evening primrose","Onagraceae","Evening Primrose family","Forb/herb","Biennial, Perennial","forb","annual-biennial","N"
"OLAL2","Oligoneuron album","NA","OLAL2","Oligoneuron album","prairie goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"OLRIR","Oligoneuron rigidum var. rigidum","SORI2","SORI2","Solidago rigida","Stiff goldenrod","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"ONBEB","Onosmodium bejariense var. bejariense","ONMO","ONMO","Onosmodium molle","Western false gromwell","Boraginaceae","Borage family","Forb/herb","	Perennial","forb","spring","N"
"OPEN","Ophioglossum engelmannii","NA","OPEN","Ophioglossum engelmannii","limestone adderstongue","Ophioglossaceae","Adder's-tongue family","Forb/herb","Perennial","fern","fern","N"
"OPFR","Opuntia fragilis","NA","OPFR","Opuntia fragilis","brittle pricklypear","Cactaceae","Cactus family","Shrub","Perennial","forb","succulent","N"
"OPHIO","Ophioglossum","NA","OPHIO","Ophioglossum","adderstongue","Ophioglossaceae","Adder's-tongue family","Forb/herb","Perennial","fern","fern","N"
"OPHU","Opuntia humifusa","NA","OPHU","Opuntia humifusa","devil's-tongue","Cactaceae","Cactus family","Shrub","Perennial","forb","succulent","N"
"OPMA2","Opuntia macrorhiza","NA","OPMA2","Opuntia macrorhiza","twistspine pricklypear","Cactaceae","Cactus family","Shrub","Perennial","forb","succulent","N"
"OPPO","Opuntia polyacantha","NA","OPPO","Opuntia polyacantha","plains pricklypear","Cactaceae","Cactus family","Shrub","Perennial","forb","succulent","N"
"OPVU","Ophioglossum vulgatum","NA","OPVU","Ophioglossum vulgatum","southern adderstongue","Ophioglossaceae","Adder's-tongue family","Forb/herb","Perennial","fern","fern","N"
"ORFA","Orobanche fasciculata","NA","ORFA","Orobanche fasciculata","clustered broomrape","Orobanchaceae","Broom-rape family","Forb/herb","Annual","forb","summer","N"
"ORPE","Orbexilum pedunculatum","NA","ORPE","Orbexilum pedunculatum","Sampson's snakeroot","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"OSCL","Osmorhiza claytonii","NA","OSCL","Osmorhiza claytonii","Clayton's sweetroot","Apiaceae","Carrot family","Forb/herb","Perennial","forb","spring","N"
"OSCL2","Osmunda claytoniana","NA","OSCL2","Osmunda claytoniana","interrupted fern","Osmundaceae","Royal Fern family","Forb/herb","Perennial","forb","spring","N"
"OSLO","Osmorhiza longistylis","NA","OSLO","Osmorhiza longistylis","longstyle sweetroot","Apiaceae","Carrot family","Forb/herb","Perennial","forb","spring","N"
"OSMOR","Osmorhiza","NA","OSMOR","Osmorhiza","sweetroot","Apiaceae","Carrot family","Forb/herb","	Perennial","forb","summer","N"
"OSVI","Ostrya virginiana","NA","OSVI","Ostrya virginiana","hophornbeam","Betulaceae","Birch family","Tree","Perennial","woody","woody","N"
"OXALI","Oxalis","NA","OXALI","Oxalis","woodsorrel","Oxalidaceae","Wood-Sorrel family","Forb/herb","	Perennial","forb","spring","N"
"OXDI2","Oxalis dillenii","NA","OXDI2","Oxalis dillenii","slender yellow woodsorrel","Oxalidaceae","Wood-Sorrel family","Forb/herb","Perennial","forb","spring","N"
"OXSE","Oxytropis sericea","NA","OXSE","Oxytropis sericea","white locoweed","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"OXST","Oxalis stricta","NA","OXST","Oxalis stricta","common yellow oxalis","Oxalidaceae","Wood-Sorrel family","Forb/herb","Perennial","forb","NA","N"
"OXVI","Oxalis violacea","NA","OXVI","Oxalis violacea","violet woodsorrel","Oxalidaceae","Wood-Sorrel family","Forb/herb","Perennial","forb","spring","N"
"PAAN","Panicum anceps","NA","PAAN","Panicum anceps","beaked panicgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"PACA15","Packera cana","SECA2","SECA2","Senecio canus","Gray groundsel","Asteraceae","Aster family","Forb/herb, Subshrub","	Perennial","forb","spring","N"
"PACA6","Panicum capillare","NA","PACA6","Panicum capillare","witchgrass","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","N"
"PADE4","Paronychia depressa","NA","PADE4","Paronychia depressa","spreading nailwort","Caryophyllaceae","Pink family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"PAFL2","Panicum flexile","NA","PAFL2","Panicum flexile","wiry panicgrass","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","N"
"PAIN3","Parthenium integrifolium","NA","PAIN3","Parthenium integrifolium","wild quinine","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
"PAIN6","Passiflora incarnata","NA","PAIN6","Passiflora incarnata","purple passionflower","Passifloraceae","Passion-flower family","Forb/herb, vine","Perennial","forb","summer","N"
"PALA10","Paspalum laeve","NA","PALA10","Paspalum laeve","field paspalum","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"PALU2","Passiflora lutea","NA","PALU2","Passiflora lutea","yellow passionflower","Passifloraceae","Passion-flower family","Forb/herb, vine","Perennial","forb","NA","N"
"PANIC","Panicum","NA","PANIC","Panicum","panicgrass","Poaceae","Grass family","Graminoid","NA","grass","NA","N"
"PAOB6","Packera obovata","SEOB2","SEOB2","Senecio obovatus","roundleaf ragwort","Asteraceae","Aster family","Forb/herb","	Perennial","forb","spring","N"
"PAPE5","Parietaria pensylvanica","NA","PAPE5","Parietaria pensylvanica","Pennsylvania pellitory","Urticaceae","Nettle family","Forb/herb","Annual","forb","summer","N"
"PAPL12","Packera plattensis","SEPL","SEPL","Senecio plattensis","Platte groundsel","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","summer","N"
"PAQU","Panax quinquefolius","NA","PAQU","Panax quinquefolius","American ginseng","Araliaceae","Ginseng family","Forb/herb","Perennial","forb","summer","N"
"PAQU2","Parthenocissus quinquefolia","NA","PAQU2","Parthenocissus quinquefolia","Virginia creeper","Vitaceae","Grape family","Vine","Perennial","woody","woody","N"
"PASA2","Pastinaca sativa","NA","PASA2","Pastinaca sativa","wild parsnip","Apiaceae","Carrot family","Forb/herb","Biennial, Perennial","forb","annual-biennial","I"
"PASE","Paronychia sessiliflora","NA","PASE","Paronychia sessiliflora","creeping nailwort","Caryophyllaceae","Pink family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"PASE5","Paspalum setaceum","NA","PASE5","Paspalum setaceum","thin paspalum","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"PASM","Pascopyrum smithii","NA","PASM","Pascopyrum smithii","western wheatgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"PASPA2","Paspalum","NA","PASPA2","Paspalum","crowngrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"PATR2","Panax trifolius","NA","PATR2","Panax trifolius","dwarf ginseng","Araliaceae","Ginseng family","Forb/herb","Perennial","forb","summer","N"
"PAVI2","Panicum virgatum","NA","PAVI2","Panicum virgatum","switchgrass","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"PAVI5","Parthenocissus vitacea","NA","PAVI5","Parthenocissus vitacea","woodbine","Vitaceae","Grape family","Vine","Perennial","woody","woody","N"
"PEAL2","Penstemon albidus","NA","PEAL2","Penstemon albidus","white penstemon","Scrophulariaceae","Figwort family","Forb/herb","Perennial","forb","spring","N"
"PEAN4","Penstemon angustifolius","NA","PEAN4","Penstemon angustifolius","broadbeard beardtongue","Scrophulariaceae","Figwort family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"PEAR6","Pediomelum argophyllum","PSAR2","PSAR2","Psoralea argophylla","Silvery scurf-pea","Fabaceae","Pea family","Forb/herb","	Perennial","forb","legume","N"
"PECA","Pedicularis canadensis","NA","PECA","Pedicularis canadensis","Canadian lousewort","Scrophulariaceae","Figwort family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"PECO4","Penstemon cobaea","NA","PECO4","Penstemon cobaea","cobaea beardtongue","Scrophulariaceae","Figwort family","Forb/herb","Perennial","forb","ephemeral","N"
